1 of 464



Result File: Babes in the Jungle.txt res
['draft', 'NOUN', '1']
['thousand', 'NUM', '2']
['uncle', 'NOUN', '1']
['burglar', 'ADJ', '1']
['house', 'NOUN', '2']
['hot', 'ADJ', '1']
['supper', 'NOUN', '1']
['college', 'NOUN', '1']
['student', 'NOUN', '1']
['slug', 'NOUN', '1']
['citizen', 'NOUN', '2']
['upper', 'ADJ', '1']
['end', 'NOUN', '3']
['plain', 'ADJ', '1']
['case', 'NOUN', '1']
['assault', 'NOUN', '1']
['battery', 'NOUN', '1']
['monty', 'ADJ', '2']
['slack', 'VERB', '1']
['correctly', 'ADV', '2']
['discriminate', 'VERB', '1']
['perorative', 'ADJ', '1']
['doubt', 'NOUN', '1']
['dawn', 'NOUN', '1']
['cherry', 'NOUN', '1']
['rus', 'NOUN', '1']
['urbe', 'ADJ', '1']
['suit', 'NOUN', '2']
['deal', 'NOUN', '3']
['better', 'ADJ', '1']
['satisfied', 'ADJ', '2']
['straw', 'NOUN', '1']
['velveteen', 'VERB', '1']
['vest', 'NOUN', '2']
['buckeye', 'ADJ', '1']
['watch', 'VERB', '1']
['charm', 'NOUN', '1']
['look', 'VERB', '3']
['emigrant', 'ADJ', '1']
['big', 'ADJ', '3']
['europe', 'NOUN', '3']
['frighten', 'ADJ', '1']
['foreigner', 'NOUN', '1']
['right', 'INTJ', '2']
['feel', 'VERB', '1']
['like', 'ADP', '8']
['slap', 'NOUN', '1']
['laundry', 'ADJ', '1']
['basket', 'NOUN', '1']
['germicide', 'NOUN', '1']
['sprinkle', 'ADJ', '1']
['wear', 'VERB', '2']
['diamond', 'NOUN', '1']
['winnie', 'NOUN', '1']
['wiretapper', 'NOUN', '1']
['wife', 'NOUN', '1']
['bella', 'NOUN', '1']
['buncosteerer', 'NOUN', '1']
['bride', 'ADV', '1']
['yorker', 'NOUN', '1']
['rise', 'VERB', '1']
['tidy', 'ADJ', '1']
['bother', 'NOUN', '1']
['break', 'VERB', '1']
['cigar', 'NOUN', '1']
['pocket', 'NOUN', '1']
['clothe', 'ADJ', '1']
['hope', 'NOUN', '1']
['wish', 'NOUN', '1']
['small', 'ADJ', '1']
['business', 'NOUN', '2']
['crop', 'NOUN', '1']
['farmer', 'NOUN', '1']
['short', 'ADJ', '1']
['sign', 'VERB', '1']
['petition', 'NOUN', '1']
['post', 'NOUN', '1']
['office', 'NOUN', '2']
['discount', 'NOUN', '1']
['200', 'NUM', '1']
['county', 'NOUN', '1']
['possess', 'ADJ', '1']
['instinct', 'ADJ', '1']
['selfpreservation', 'NOUN', '1']
['illiberality', 'NOUN', '1']
['fear', 'NOUN', '1']
['cultured', 'ADJ', '1']
['tackle', 'VERB', '1']
['game', 'NOUN', '2']
['worry', 'VERB', '2']
['jayvilleneartarrytown', 'ADJ', '1']
['estimate', 'NOUN', '1']
['sure', 'ADJ', '2']
['north', 'ADV', '1']
['river', 'NOUN', '5']
['hudson', 'NOUN', '1']
['east', 'NOUN', '1']
['live', 'ADJ', '4']
['building', 'NOUN', '2']
['skyscraper', 'NOUN', '1']
['life', 'NOUN', '1']
['hustle', 'ADJ', '1']
['western', 'ADJ', '1']
['ought', 'VERB', '1']
['conspicuous', 'ADJ', '1']
['inside', 'ADP', '2']
['incur', 'INTJ', '1']
['jerome', 'NOUN', '1']
['clemency', 'NOUN', '1']
['lawson', 'VERB', '1']
['displeasure', 'NOUN', '1']
['hyperbole', 'NOUN', '1']
['aside', 'ADV', '1']
